Unnamed: 0,tractid,tract,county,state,year,GEOID10,NAMELSAD10,tractid_nanda,year_nanda,pop,incpc,ppov,hinc,phs,mrent,mhmval,pown,pmulti,open_urban_space,low_development,medium_development,high_development,unclassified,forested,cultivated,cluster
2111,24009860502,Census Tract 8605.02,Calvert County,MD,2000,24009860502,Census Tract 8605.02,24009860502,2000,-0.4908405541752628,-0.4367548514899483,-0.3943623607888141,-0.0857623181696539,0.2969161990258662,-0.4560914773401367,-0.4431721428454219,-2.0959502746609644,-0.9940360677775256,-1.0042333413698006,-1.3523786702098537,-0.9328972579274784,-0.5112518108979588,0.8765200833472228,2.3887334511065306,0.0162266143102524,5
2112,24009860502,Census Tract 8605.02, Calvert County, Maryland,2012,24009860502,Census Tract 8605.02,24009860502,2012,-0.6199312953057181,-0.2917777162577865,-0.2690374025821944,0.0290473163791636,0.9925968336633544,-0.502254039820948,-0.4431704965386016,0.8985975826645953,-0.9699170964080904,-1.0339821799909823,-1.4157339991069358,-1.0028076430771673,-0.5375507840226366,0.7966582487971245,2.592415095639992,0.0827877876723273,5
2113,24009860502,Census Tract 8605.02, Calvert County, Maryland,2019,24009860502,Census Tract 8605.02,24009860502,2019,-0.7614293196224485,-0.0185664818057758,-0.4485515789244708,0.2926566391904026,0.6558556565066118,-1.3815325570421604,-0.4688297662145785,0.8891365189797622,-0.934757308688472,-1.0051269434851515,-1.4315305781116192,-1.0220345440628344,-0.5448524117062576,0.7979312881927239,2.6127246922151337,0.0950952576913268,5
2114,24009860600,Census Tract 8606,Calvert County,MD,2000,24009860600,Census Tract 8606,24009860600,2000,1.572087674991267,-0.0635944764536631,-0.4538143133225192,0.6135067125784878,0.8451865982895239,-0.2103790503315853,0.3144629029656767,0.4152397515993009,-0.9651178489514388,-0.5836451805431301,-1.443324449784899,-0.9549248812064444,-0.5130374469822594,1.740489508846598,1.517307831928604,0.5329409780723658,5
2115,24009860600,Census Tract 8606, Calvert County, Maryland,2012,24009860600,Census Tract 8606,24009860600,2012,2.041095966086822,-0.1870644840414702,-0.5629086576233366,0.767345011789991,0.1185358834844731,-1.7580982857311935,0.1998391003071951,1.2401150217718149,-0.9250598167262402,-0.6107118738243325,-1.5045878229657532,-1.0253825202439997,-0.5446010974986917,1.5838400789822746,1.671845331974742,0.650404496740695,5
2116,24009860600,Census Tract 8606, Calvert County, Maryland,2019,24009860600,Census Tract 8606,24009860600,2019,1.3870570535941853,-0.3137814258476725,-0.6600973382732691,0.1721977074554282,0.0980513544923307,1.4750634301472134,-0.0989010575829444,1.044771406997142,-0.9111417967072172,-0.5970646390110625,-1.519049903607204,-1.0440619208045103,-0.5521540824775858,1.585208379648294,1.695959166981441,0.6694346192076911,5
2117,24009860801,Census Tract 8608.01,Calvert County,MD,2000,24009860801,Census Tract 8608.01,24009860801,2000,1.1373328519204569,-0.3427313746112229,-0.0936664735015874,0.1152441212013465,0.7708384085184786,-0.4177986315725702,0.1280519780251043,-0.5504047554226419,-0.9394910843120984,-1.2746986031888576,-1.4879815433596448,-0.9587778841735336,-0.5141630780418334,3.161334082858812,1.4733167135002605,0.4862667595111341,6
2118,24009860801,Census Tract 8608.01, Calvert County, Maryland,2012,24009860801,Census Tract 8608.01,24009860801,2012,1.4042164878010353,-0.0626729131515911,-0.7326568386835739,0.3731129414367659,0.5264038043768716,-0.461819660691262,-0.073480813000671,1.0512137887462862,-0.8578333216502964,-1.2975536220020587,-1.5482508629683198,-1.029380652566106,-0.5467245702255105,2.872640289903484,1.631993363145774,0.5884852581324054,5
2119,24009860801,Census Tract 8608.01, Calvert County, Maryland,2019,24009860801,Census Tract 8608.01,24009860801,2019,1.223110055637974,-0.2090726561334818,-0.8930929835171838,0.3287265099786671,0.7641498205849452,-0.1664270250154183,-0.3240750541413304,1.084971678867137,-0.9740258919152572,-1.2845307024358392,-1.5617852362774116,-1.047813244517756,-0.5542524842783283,2.878502673719672,1.650117928032353,0.6070944424924825,5
2120,24009860802,Census Tract 8608.02,Calvert County,MD,2000,24009860802,Census Tract 8608.02,24009860802,2000,0.5572172559450557,-0.3813938283037548,-0.5850988476447847,-0.1424130094156007,0.4831766111887636,-0.2454808256185212,-0.4420820204773484,-2.0486516798649266,-0.955291188604776,-0.7761575353567916,-1.310011345794979,-0.9237281386482928,-0.5088026356254792,0.6887288571933499,2.31891264362021,-0.0393866094781805,5
