Unnamed: 0,tractid,tract,county,state,year,GEOID10,NAMELSAD10,tractid_nanda,year_nanda,pop,incpc,ppov,hinc,phs,mrent,mhmval,pown,pmulti,open_urban_space,low_development,medium_development,high_development,unclassified,forested,cultivated,cluster
1348,53033029601,Census Tract 296.01,King County,WA,2000,53033029601,Census Tract 296.01,53033029601,2000,1.9261255416856085,-0.9405338021564504,1.7040538804845506,-0.1724576380018509,0.5582855787675736,-1.3508885026773427,-0.3911443615974961,0.5907352400053707,0.0629788777541708,1.474192357929073,0.7966207970044953,0.1120695500754629,-0.4648303546006996,-0.412848142996532,-0.5594747553678244,-0.3125860910360067,1
1349,53033029601,Census Tract 296.01, King County, Washington,2012,53033029601,Census Tract 296.01,53033029601,2012,0.7788005172073146,-0.7755257264143398,0.4374749201758677,-0.1097495822235961,0.9493982323845476,-0.630688701586468,-0.5069466343821475,0.4669633711690314,-0.2411687976246761,1.4545841700300648,0.7991765195322112,0.0501854964885787,-0.480707239539146,-0.3887763451459295,-0.5084572793628546,-0.2850206629120874,1
1350,53033029601,Census Tract 296.01, King County, Washington,2019,53033029601,Census Tract 296.01,53033029601,2019,1.2193157876303722,-0.9672772305316452,1.3599943572846995,-0.5116801580061491,1.2209474300369652,-0.2334760885018814,-0.5836646778867469,-0.0387805261382197,-0.421676915263197,1.4897039792835385,0.7912257902763615,0.0407117414605031,-0.4845250695564457,-0.3857711511839004,-0.5044688594921316,-0.2817213576975909,1
1351,53033029504,Census Tract 295.04,King County,WA,2000,53033029504,Census Tract 295.04,53033029504,2000,0.1766069241130955,-0.7554127610455904,0.2931179229387355,-0.7992412785065678,-0.0022349894092947,-0.0648458225328434,-0.7248555634526087,-0.1774491081742261,1.767512880598297,1.3362032032762,0.5188848468875765,0.3445841542144926,0.0571947467800501,-0.5716959438393988,-0.7549629501559969,-0.3135954878087474,4
1352,53033029504,Census Tract 295.04, King County, Washington,2012,53033029504,Census Tract 295.04,53033029504,2012,0.3327994735899851,-0.965663442690742,0.5990297814502907,-0.8938619714544145,0.5487143982723954,-0.3822819836166412,-0.8592633710336853,-1.6706236394048262,1.5690233568977434,1.2513925452733712,0.4811125220227415,0.3949500097309245,0.0695867117903866,-0.5745399576433351,-0.726398575212294,-0.3325991178275488,4
1353,53033029504,Census Tract 295.04, King County, Washington,2019,53033029504,Census Tract 295.04,53033029504,2019,0.352275629909281,-1.3428487719245397,2.10600725724745,-1.3582135461834897,1.503439412780478,-0.2893631667557944,-0.860166302369142,-1.710018948986955,1.710646523028631,1.2401343793737087,0.4802447036128221,0.3939703291448564,0.075346366157116,-0.5717377822778783,-0.7230911646576542,-0.3296310740415669,4
1354,53033007600,Census Tract 76,King County,WA,2000,53033007600,Census Tract 76,53033007600,2000,-0.697080813449658,0.3311851191963572,1.1616307051882018,-0.9427085335567468,-1.2106293434082405,-0.23666528992057,0.6439074316973774,-0.0558583194340577,1.78542551012298,-1.4990050479365675,-0.3373971578151948,2.3437208314357503,0.3837487665857328,-0.455495740993688,-0.7989661341016817,-0.3535872635827738,2
1355,53033007600,Census Tract 76, King County, Washington,2012,53033007600,Census Tract 76,53033007600,2012,-0.592950467093463,0.6045131841982972,0.1304830606377921,-0.4975028591355147,-1.2428980752236327,0.1364496921438796,0.6929826007378476,-1.3521410572130033,1.6219860835622064,-1.4647545010079892,-0.342895388663036,2.234638965560896,0.3588546694537625,-0.4270486436554263,-0.7550095359096088,-0.3285543297754664,2
1356,53033007600,Census Tract 76, King County, Washington,2019,53033007600,Census Tract 76,53033007600,2019,-0.4381961784323745,1.0818415407024815,0.765623248997829,-0.1197713714721574,-1.304049843795113,0.391443059246418,1.1273222618995378,-1.3468762484490184,1.7940850649345672,-1.4582566600893128,-0.3501650444825241,2.220972632068786,0.3543749847784299,-0.4240852769825338,-0.7517915270936393,-0.3255581244556442,2
1357,53033007500,Census Tract 75,King County,WA,2000,53033007500,Census Tract 75,53033007500,2000,0.9409943968785462,0.253871672742404,0.6358162888457006,-1.2914690173805037,-1.174753985876691,-0.4501379615235031,0.7642622913828278,0.122470912101765,2.5618975593829982,-1.45137591064807,-1.6187778817575842,1.204701645410922,2.7964271818046944,-0.4765715399644885,-0.7498471245517794,-0.2769740485317553,0
