,tractid,tract,county,state,year,GEOID10,NAMELSAD10,tractid_nanda,year_nanda,pop,incpc,ppov,hinc,phs,mrent,mhmval,pown,pmulti,open_urban_space,low_development,medium_development,high_development,unclassified,forested,cultivated
686,53033032003,Census Tract 320.03, King County, Washington,2012,53033032003,Census Tract 320.03,53033032003,2012,0.4029420709541348,0.3746900880972292,-0.6809059813369397,0.6887813558031293,-0.3962114190880276,0.2716121710392266,0.8694830241477443,1.4707786202273452,-1.1341057518278146,-0.7855663884569429,-1.7037902699091765,-1.5117547706639418,-0.6744422848739141,-0.3842437220541681,3.4760385718825386,-0.10313325304628657
687,53033032003,Census Tract 320.03, King County, Washington,2019,53033032003,Census Tract 320.03,53033032003,2019,0.10604503873944128,0.5778242011073459,-0.5642487417559809,0.6761614282121563,-0.10844686894086099,-0.048032601568442995,0.253935004289507,1.1822621132480668,-1.0615128759365713,-0.7665052226385409,-1.7096649560671155,-1.5296551453849314,-0.6780563518369407,-0.386919895227656,3.495587535942349,-0.10299371447775019
688,53033031704,Census Tract 317.04,King County,WA,2000,53033031704,Census Tract 317.04,53033031704,2000,-0.23844832979038755,-0.21822291795517465,-0.7147143529929693,0.1497348356274282,0.18423945941428235,-0.0023660162100337403,-0.27297777208814483,0.3330986484467781,-0.0809214074900787,1.5329679137809353,0.12739765422533647,-0.5879457319253025,-0.3857892376225689,-0.1769908691213081,-0.08697945087374365,0.48545610654178084
689,53033031704,Census Tract 317.04, King County, Washington,2012,53033031704,Census Tract 317.04,53033031704,2012,0.03833290918388474,-0.39209600304367836,-0.2084086514530833,0.2979329977360683,0.34167095883338644,-0.3201803041241844,-0.4015936684708138,0.47494851303969293,-0.46467780897049155,1.5726660933029393,0.1386683140420514,-0.5288788398199856,-0.3967887605650243,-0.18008330295013758,-0.09155891921465394,0.404693644954504
690,53033031704,Census Tract 317.04, King County, Washington,2019,53033031704,Census Tract 317.04,53033031704,2019,0.4057082190445706,-0.4653565147903261,-0.5415240270374145,0.2515502042006713,0.9933316784034353,-0.1598067580762689,-0.43540186537538567,0.4169040001089087,-0.4632715951753657,1.61721953831214,0.1436033433061098,-0.5362656645543343,-0.40067274631855865,-0.17744366216522042,-0.09454220412568712,0.397363797299539
691,53033032005,Census Tract 320.05,King County,WA,2000,53033032005,Census Tract 320.05,53033032005,2000,2.0454271379022724,-0.6131067360984734,-0.7755394546870329,0.3341057563728549,-0.0006521635696718164,0.12259359643558564,-0.6088772441193564,0.8276777253357993,-1.0934516320840202,0.49157159706116255,0.37747570026691696,-0.5117915755485463,-0.5722610290152829,0.43905465072738037,0.09811795093833606,-0.0839157730534508
692,53033032005,Census Tract 320.05, King County, Washington,2012,53033032005,Census Tract 320.05,53033032005,2012,1.4630217028160961,-0.5451157855099497,-0.1557245104661061,0.14600980688914217,1.41925081750085,0.17663313181546925,-0.5931445155823295,0.99810415758597,-1.0828635074125579,0.6090050130388561,0.4596106010826462,-0.5640666184821187,-0.5567027159044606,0.3847299687710995,0.04230021760925326,-0.09010112966994552
693,53033032005,Census Tract 320.05, King County, Washington,2019,53033032005,Census Tract 320.05,53033032005,2019,0.7984652917606685,-0.10219919358450408,-1.1303965561961042,0.23674591773871148,0.8961369271256754,0.10438670276041052,-0.6991222129171462,1.195189753199309,-1.1371752251082434,0.6336226134747412,0.4538891137390751,-0.5761393440186333,-0.5584975265934689,0.361543115834841,0.0923253145568922,-0.16513492775753438
694,53033032006,Census Tract 320.06,King County,WA,2000,53033032006,Census Tract 320.06,53033032006,2000,-0.09985845155067032,0.30644070937510526,-0.8942648405962517,1.2148906443410252,-0.3020868483494211,0.22672660697360178,0.2915959333454225,0.5990992994478297,-1.098774162502885,1.5911467814043498,0.3884943985894238,-1.0373263524950167,-0.6104736298568931,-0.08569155042059565,0.4255831899463885,-0.2484369597709863
695,53033032006,Census Tract 320.06, King County, Washington,2012,53033032006,Census Tract 320.06,53033032006,2012,-0.2905432312876476,0.16144535769001422,-0.9817083833712719,0.5127014339892385,0.29606189807542793,1.1885252035454992,-0.03217417761289058,0.9942407790280635,-1.1341057518278146,1.574257038495479,0.4373999446932457,-1.0357304829409584,-0.6190435367669949,-0.09693969558100482,0.4271431131326131,-0.21690927153953068
